channel_id,subscriber_count,total_video_count
"['인생이시트콤_고구마 VLOG', 'UCHYv07UtJkjSu3qDoo2he_Q']",8.31만,114
"['김기수', 'UCmsRD5l54nq9pox_3B7KhCg']",12.5만,1.1천
"['구을부부 gueul_couple', 'UCPosNzNmmtXSk8UFppRdBVw']",2.03만,94
"['muko', 'UCHUP4E06Y8GpHcxLk5d4Sng']",2.44천,141
"['hongsi 홍시', 'UCjZhSJP6ridQzH75e48wyIQ']",58.4만,410
"['근빵지', 'UCNPNmpdeoskyY55efub57hw']",788,45
"['에그민EGGMIN', 'UCPcwmHSLDduYWPMdlVf-cqA']",10.7만,260
"['째링', 'UCb2wQgdDmoAbLdiBpJ8Ruiw']",7.1만,101
"['한문빌라 주인 ', 'UClY-ve1v6YkDgaS7PPbgsKg']",1.05만,242
"['고독한갯츠비', 'UCLfc87S_edQ59xTzJqqY13A']",15.5만,675
"['김밍 KIMMING', 'UCTjwlF8Y8hxR85JPUoZv-6A']",21.1만,1.1천
"['여단오_yeodano', 'UC9lvAaNolKlm-uTNqvZYi4A']",26.2만,211
"['마이맘 TV', 'UCwxEt7qp3I9cXi3mVE81FKA']",21.9만,850
"['빵먹다살찐떡', 'UCx-cKLK2mSsstFZGFjbCraA']",125만,1.1천
"['예소리SSOL', 'UCxvX64o-lJ9m4Co9zm6druQ']",24.3만,451
"['강유미 yumi kang좋아서 하는 채널', 'UCPZ4e8BQEM-BlepSeZUESSw']",136만,500
"['슈니 Shuni', 'UClN3odeHnrmDAetxPnlbmQA']",6.4천,119
"['미캣 meexcat', 'UC02CBIkE88qzILfmV0am2TA']",1.45만,19
"['아오니 AONI', 'UCHbT1KmTlkocMT0z5VB4bUg']",56.4만,301
"['아요커플', 'UCWYer2Csl-fxOvS1X9iQclw']",42.9만,456
"['헬로음이유니Helloeum2Uni', 'UCe00Auj7P4rdjMWSYMojqGA']",24.8만,640
"['하이슬기 Hi Seulgi', 'UCQIUpdrt5UOD2ykffc1wjBA']",63.5만,219
"['심장에박현서', 'UCo4m81FJ-dT8MqijBlhbN2A']",31.6만,332
"['소굴 sogul', 'UC6HjPmxTKOaV0IV24_Z8uSA']",2.31천,125
"['알고포스', 'UCGAjGxhPbUMExk3uKFGLwkQ']",18.3만,232
"['뿅글이', 'UC_JXWoZ2DQB98xFiKLPrVEQ']",35.4만,246
"['수베리suberry', 'UC6sUTli06IsRAObZRCipzVQ']",17,7
"['슬픔이 다엿중', 'UCi0FmenApRfcMkMwWcnaatA']",5.64천,77
"['뭐혜연WAYD', 'UCYhspWwPV3s9HQmtZPMA54g']",27만,265
"['ENHYPEN', 'UCArLZtok93cO5R9RI4_Y5Jw']",1140만,1.7천
"['지현꿍', 'UCyG7zAV_2JlPnxhwDxZN6sA']",299만,207
"['히두부 𝐻𝑖𝑑𝑑𝑢𝘣𝑢౨ৎ', 'UCziJ1h6M8hsVgze5iwnwmsg']",2.24만,26
"['yerimiese', 'UCT03F6XD-QiSZ_7BY8uLvBA']",15.5만,12
"['기용이tv', 'UCkMN06eC97XL1qR1bExdwWg']",23.4만,499
"['엄지렐라 Umjirella', 'UCLXafJ8yYXeUN_eHai-6Pgw']",29.8만,361
"['위니Wini_log', 'UCM921AEExSVjJt75cc06NAQ']",1.16만,65
"['재인 JANE LEE', 'UCl6R4Xh6n9B2yzflcXjQC0w']",1.45만,84
"['Heestory 희스토리', 'UC5Bq_naFZ0CGhSbEkFsx7EQ']",3.9만,116
"['선 빈', 'UC23emwqOLL9pYZYJzxH9iuA']",13만,122
"['차린건 쥐뿔도 없지만', 'UChdqwmHLPoL3UJmm9Fw-LsA']",409만,52
"['마복필', 'UC7MQxkON_yXQjJv60hBIW1w']",22.3만,145
